date,sku,units_sold
2026-08-21,SKU-1002,37
2026-08-21,SKU-1003,1
2026-08-21,SKU-1004,8
2026-08-21,SKU-1005,0
2026-08-21,SKU-1006,0
2026-08-21,SKU-1007,35
2026-08-21,SKU-1008,1
2026-08-22,SKU-1001,21
2026-08-22,SKU-1002,47
2026-08-22,SKU-1003,12
2026-08-22,SKU-1004,6
2026-08-22,SKU-1005,3
2026-08-22,SKU-1006,0
2026-08-22,SKU-1007,52
2026-08-22,SKU-1008,2
2026-08-23,SKU-1001,30
2026-08-23,SKU-1002,59
2026-08-23,SKU-1003,12
2026-08-23,SKU-1004,13
2026-08-23,SKU-1005,0
2026-08-23,SKU-1006,3
2026-08-23,SKU-1007,48
2026-08-23,SKU-1008,3
2026-08-24,SKU-1001,10
2026-08-24,SKU-1002,40
2026-08-24,SKU-1003,6
2026-08-24,SKU-1004,7
2026-08-24,SKU-1005,1
2026-08-24,SKU-1006,6
2026-08-24,SKU-1007,29
2026-08-24,SKU-1008,1
2026-08-25,SKU-1001,10
2026-08-25,SKU-1002,24
2026-08-25,SKU-1003,7
2026-08-25,SKU-1004,4
2026-08-25,SKU-1005,3
2026-08-25,SKU-1006,4
2026-08-25,SKU-1007,29
2026-08-25,SKU-1008,0
2026-08-26,SKU-1001,10
2026-08-26,SKU-1002,39
2026-08-26,SKU-1003,6
2026-08-26,SKU-1004,9
2026-08-26,SKU-1005,0
2026-08-26,SKU-1006,4
2026-08-26,SKU-1007,28
2026-08-26,SKU-1008,1
2026-08-27,SKU-1001,18
2026-08-27,SKU-1002,31
2026-08-27,SKU-1003,8
2026-08-27,SKU-1004,10
2026-08-27,SKU-1005,1
2026-08-27,SKU-1006,5
2026-08-27,SKU-1007,25
2026-08-27,SKU-1008,3
2026-08-28,SKU-1001,12
2026-08-28,SKU-1002,31
2026-08-28,SKU-1003,6
2026-08-28,SKU-1004,7
2026-08-28,SKU-1005,0
2026-08-28,SKU-1006,5
2026-08-28,SKU-1007,38
2026-08-28,SKU-1008,4
2026-08-29,SKU-1001,15
2026-08-29,SKU-1002,50
2026-08-29,SKU-1003,10
2026-08-29,SKU-1004,13
2026-08-29,SKU-1005,0
2026-08-29,SKU-1006,3
2026-08-29,SKU-1007,42
2026-08-29,SKU-1008,4
2026-08-30,SKU-1001,20
2026-08-30,SKU-1002,61
2026-08-30,SKU-1003,15
2026-08-30,SKU-1004,11
2026-08-30,SKU-1005,0
2026-08-30,SKU-1006,2
2026-08-30,SKU-1007,44
2026-08-30,SKU-1008,3
2026-08-31,SKU-1001,12
2026-08-31,SKU-1002,26
2026-08-31,SKU-1003,6
2026-08-31,SKU-1004,10
2026-08-31,SKU-1005,0
2026-08-31,SKU-1006,3
2026-08-31,SKU-1007,24
2026-08-31,SKU-1008,0
